id,descripcion,descripcion_equivalente,cbarras,cbarras_equivalente,cantidad_equivalente
1,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,4019338605142,4019338605142,1
2,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,4019338605142,7501293201660,1
3,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,RANTUDIL 60MG CAP C14,4019338605142,7501293201653,0.5
4,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,RANTUDIL 60MG CAP 14,4019338605142,4019338605135,0.5
5,FITROMTEC CAJA CON 20 TABLETAS 4 MG,FITROMTEC CAJA CON 20 TABLETAS 4 MG,7501471889611,7501471889611,1
6,FITROMTEC CAJA CON 20 TABLETAS 4 MG,SINTROM CAJA CON 30 TABLETAS 4 MG,7501471889611,7501094916558,1
7,ASPITAK-P CAJA CON 30 COMPRIMIDOS 100 MG,ASPITAK-P CAJA CON 30 COMPRIMIDOS 100 MG,7502001162976,7502001162976,1
8,ASPITAK-P CAJA CON 30 COMPRIMIDOS 100 MG,ACIDO ACETILSALICILICO 100MG C/30 TAB LR,7502001162976,7502216798373,1
9,ASPITAK-P CAJA CON 30 COMPRIMIDOS 100 MG,ASPIRINA PROTECT 100MG CPR C28,7502001162976,7501318612655,1
10,ACETA-DIAZOL FRASCO 30 TABLETAS 250 MG,ACETA-DIAZOL FRASCO 30 TABLETAS 250 MG,8400000026,8400000026,1
11,LANDVIR CAJA CON 25 TABLETAS 200MG,LANDVIR CAJA CON 25 TABLETAS 200MG,7502247374164,7502247374164,1
12,LANDVIR CAJA CON 25 TABLETAS 200MG,MACLOV CAJA CON 25 TABLETAS 200MG,7502247374164,785120753523,1
13,LANDVIR CAJA CON 25 TABLETAS 200MG,CLORIXAN 200MG C/20TAB,7502247374164,9588854500002,1
14,LANDVIR CAJA CON 25 TABLETAS 200MG,ZIVERONE TAB C/25 200MG (Aciclovir),7502247374164,7502003388060,1
15,LANDVIR CAJA CON 25 TABLETAS 200MG,BRIMEX 25 COMP 200MG,7502247374164,7501573900276,1
16,MACLOV CAJA CON 35 TABLETAS  400 MG,MACLOV CAJA CON 35 TABLETAS  400 MG,785120753530,785120753530,1
17,MACLOV CAJA CON 35 TABLETAS  400 MG,BRIMEX COMPRIMIDOS 400MG,785120753530,7501573921264,1
18,MACLOV CAJA CON 35 TABLETAS  400 MG,ACICLOVIR TABLETAS,785120753530,7502007577972,1
19,LESACLOR FRASCO SUSPENSION 125 ML 4 G/100 ML,LESACLOR FRASCO SUSPENSION 125 ML 4 G/100 ML,785118753528,785118753528,1
20,LESACLOR FRASCO SUSPENSION 125 ML 4 G/100 ML,CICLOFERON SUSP 60ML,785118753528,7501299301395,0.5
21,CLOVEX TUBO CREMA 5G  0.05 G/G,CLOVEX TUBO CREMA 5G  0.05 G/G,7501672690399,7501672690399,1
22,CLOVEX TUBO CREMA 5G  0.05 G/G,VIRESTAT TUBO CREMA 5G  0.05 G/G,7501672690399,7501836003294,1
23,CLOVEX TUBO CREMA 5G  0.05 G/G,CICLOFERON CRA 5MG,7501672690399,7501299303016,1
24,CLOVEX TUBO CREMA 5G  0.05 G/G,LESACLOR CREMA TUBO 5 GR. Aciclovir,7501672690399,785118753597,1
25,CLOVEX TUBO CREMA 5G  0.05 G/G,ZIVERONE CREMA 5 GR. (Aciclovir),7501672690399,7502003389012,1
26,CLOVEX TUBO CREMA 5G  0.05 G/G,ACICLOVIR UNG 30MG C/4.5GR,7501672690399,7502261160484,1
27,CLOVEX TUBO CREMA 5G  0.05 G/G,SOVICLOR CREMA TUBO 5 GR. (Aciclovir),7501672690399,780083141585,1
28,CLOVEX TUBO CREMA 5G  0.05 G/G,BEADVANCE CRA 5G,7501672690399,780083147297,1
29,CLOVEX TUBO CREMA 5G  0.05 G/G,GM ACICLOVIR 0.05G 5G,7501672690399,7502211781684,1
30,CLOVEX TUBO CREMA 5G  0.05 G/G,ACICLOVIR ELI 5% CRA 10G,7501672690399,7502247371095,1
31,CLOVEX TUBO CREMA 5G  0.05 G/G,ZOVIRAX 0.05% 10 G,7501672690399,7501046482490,1
32,SOPHIVIR UNGENA TUBO UNGÜENTO 7G 30 MG/G,SOPHIVIR UNGENA TUBO UNGÜENTO 7G 30 MG/G,736085270075,736085270075,1
33,SOPHIVIR UNGENA TUBO UNGÜENTO 7G 30 MG/G,ACICLOVIR EXAKTA TUBO UNGÜENTO 4.5G 30 MG/G,736085270075,7503000997989,1
34,SOPHIVIR UNGENA TUBO UNGÜENTO 7G 30 MG/G,IGNIS TUBO UNGÜENTO 4.5G,736085270075,7501630206,1
35,SOPHIVIR UNGENA TUBO UNGÜENTO 7G 30 MG/G,ACICLOVIR  4.5 GR,736085270075,75050801,1
36,SOPHIVIR UNGENA TUBO UNGÜENTO 7G 30 MG/G,AVIREX-U 4.5 GR  30MG,736085270075,7501471888270,1
37,M.V.I. FRASCO AMPULA LIOFILIZADO 5ML 100MG/0.4MG/0.060MG/0.005MG/15MG/3.6MG/40MG/4MG/3MG/3.300 U.I./200 U.I./10 U.I./0.2 MG,M.V.I. FRASCO AMPULA LIOFILIZADO 5ML 100MG/0.4MG/0.060MG/0.005MG/15MG/3.6MG/40MG/4MG/3MG/3.300 U.I./200 U.I./10 U.I./0.2 MG,7501123015405,7501123015405,1
38,HUMIRA CAJA CON SOLUCION INYECTABLE 40MG/0.8 ML EN JERINGA PRELLENADA,HUMIRA CAJA CON SOLUCION INYECTABLE 40MG/0.8 ML EN JERINGA PRELLENADA,8054083005058,8054083005058,1
39,HUMIRA CAJA CON SOLUCION INYECTABLE 40MG/0.8 ML EN JERINGA PRELLENADA,HUMIRA CAJA CON SOLUCION INYECTABLE 40MG/0.8 ML EN JERINGA PRELLENADA,8054083005058,7501033953279,1
40,HUMIRA CAJA CON SOLUCION INYECTABLE 40MG/0.8 ML EN JERINGA PRELLENADA,HUMIRA SOLUCION INYECTABLE 40MG/0.8 ML  CON 2 JGA. PRECARGAD,8054083005058,300743799026,2
41,HUMIRA CAJA CON SOLUCION INYECTABLE 40MG/0.8 ML EN JERINGA PRELLENADA,HUMIRA SOLUCION 40MG/0.8ML C/2 TORUNDAS 2 APLICACIONES,8054083005058,8054083007489,1
42,HUMIRA CAJA CON SOLUCION INYECTABLE 40MG/0.8 ML EN JERINGA PRELLENADA,HUMIRA SOL INYECTABLE 40MG/0.8 ML,8054083005058,8054083015613,1
43,HUMIRA CAJA CON SOLUCION INYECTABLE 40MG/0.8 ML EN JERINGA PRELLENADA,HUMIRA SOL INYECTABE JGA PRELLENADA,8054083005058,805408301561,1
44,HUMIRA CAJA CON SOLUCION INYECTABLE 40MG/0.8 ML EN JERINGA PRELLENADA,HUMIRA 40MG/0.4ML SOL INY C/1 JRINGA PRLL,8054083005058,8054083014128,1
45,BRUZOL CAJA CON 6 TABLETAS 200 MG,BRUZOL CAJA CON 6 TABLETAS 200 MG,7501537102098,7501537102098,1
46,BRUZOL CAJA CON 6 TABLETAS 200 MG,BRADELMIN CAJA CON 6 TABLETAS 200 MG,7501537102098,7501825300915,1
47,BRUZOL CAJA CON 6 TABLETAS 200 MG,ALBENDAZOL 200MG C/6 TABLETAS,7501537102098,7501672690429,1
48,BRUZOL CAJA CON 6 TABLETAS 200 MG,VERMISEN TAB 200MG C/6 (Albendazol),7501537102098,7501075715927,1
49,BRUZOL CAJA CON 6 TABLETAS 200 MG,ZENTEL 10 TABS 200 MG.,7501537102098,7501070618933,1
50,BRUZOL CAJA CON 6 TABLETAS 200 MG,BRUZOL 200MG C2 TAB,7501537102098,7501537102081,0.33
51,BRUZOL CAJA CON 6 TABLETAS 200 MG,DAZOCAN 200MG TAB 6 ALBENZADOL,7501537102098,7501277058006,1
52,BRADELMIN FRASCO SUSPENSION 20 ML 200MG,BRADELMIN FRASCO SUSPENSION 20 ML 200MG,7501825300908,7501825300908,1
53,BRADELMIN FRASCO SUSPENSION 20 ML 200MG,ZENTEL 4% 200MG SUSP 10ML,7501825300908,7501070618919,1
54,BRADELMIN FRASCO SUSPENSION 20 ML 200MG,BRUZOL FCO SUSP 20ML        GI,7501825300908,7501537101879,1
55,BRADELMIN FRASCO SUSPENSION 20 ML 200MG,VERMISEN  SUSP 400MG 20ML,7501825300908,75006471,1
56,FARMIVER CAJA CON 2 TABLETAS 200 MG/150 MG,FARMIVER CAJA CON 2 TABLETAS 200 MG/150 MG,7502006920038,7502006920038,1
57,FARMIVER CAJA CON 2 TABLETAS 200 MG/150 MG,AH MICOL 150/200MG TAB C2,7502006920038,650240028953,1
58,ZENTEL DUAL FRASCO SUSPENSION 400MG/100MG  10 ML,ZENTEL DUAL FRASCO SUSPENSION 400MG/100MG  10 ML,7501070618957,7501070618957,1
59,ZENTEL DUAL FRASCO SUSPENSION 400MG/100MG  10 ML,OXAL INFANTIL FRASCO SUSPENSION 400MG/100MG  10 ML,7501070618957,7501086300136,1
60,ALENDRONICO ULTRA CAJA 4 TABLETAS 70 MG,ALENDRONICO ULTRA CAJA 4 TABLETAS 70 MG,7502216803213,7502216803213,1
61,ALENDRONICO ULTRA CAJA 4 TABLETAS 70 MG,SYNOSTEP CAJA 4 TABLETAS 70 MG,7502216803213,7502216792142,1
62,ALENDRONICO ULTRA CAJA 4 TABLETAS 70 MG,OXIVAG CAJA 4 TABLETAS 70 MG,7502216803213,7501075717860,1
63,ALENDRONICO ULTRA CAJA 4 TABLETAS 70 MG,ALENDRONATO 70mg C/4 TAB (Apodrolen),7502216803213,7501277093595,1
64,ALENDRONICO ULTRA CAJA 4 TABLETAS 70 MG,LENADRIN 70MG C/4 TAB (alendronato),7502216803213,7502227870129,1
65,ALENDRONICO ULTRA CAJA 4 TABLETAS 70 MG,ACIDO ALENDRONICO TAB 4,7502216803213,7502216806368,1
66,ALENDRONICO ULTRA CAJA 4 TABLETAS 70 MG,APODROLEN 70MGC/4 TAB A.alendronico,7502216803213,7501277088744,1
67,ALENDRONICO ULTRA CAJA 4 TABLETAS 70 MG,SYNOSTEP 70MG GRAG C4,7502216803213,7502215780553,1
68,ALFA D CAJA CON 30 CAPSULAS 1 MCG,ALFA D CAJA CON 30 CAPSULAS 1 MCG,7501092770466,7501092770466,1
69,METILDOPA BIOMEP CAJA CON 30 TABLETAS 250 MG,METILDOPA BIOMEP CAJA CON 30 TABLETAS 250 MG,7501573900139,7501573900139,1
70,METILDOPA BIOMEP CAJA CON 30 TABLETAS 250 MG,TOPARAL CAJA CON 30 TABLETAS 250 MG,7501573900139,7501075715378,1
71,METILDOPA BIOMEP CAJA CON 30 TABLETAS 250 MG,HIPERMESSEL 250MG CAJA CON 30 TABLETAS,7501573900139,7501573900122,1
72,XATRAL OD CAJA CON 28 TABLETAS DE LIBERACION PROLONGADA 10 MG,XATRAL OD CAJA CON 28 TABLETAS DE LIBERACION PROLONGADA 10 MG,7501328979601,7501328979601,1
73,RASILLES CAJA CON 28 COMPRIMIDOS 300 MG,RASILLES CAJA CON 28 COMPRIMIDOS 300 MG,7501124813833,7501124813833,1
74,RASILLES HCT CAJA CON 28 COMPRIMIDOS 300/12.5 MG,RASILLES HCT CAJA CON 28 COMPRIMIDOS 300/12.5 MG,7501124815554,7501124815554,1
75,SABRO FRASCO POLVO 120 ML  1 G / 5 ML,SABRO FRASCO POLVO 120 ML  1 G / 5 ML,7501314704262,7501314704262,1
76,PURIBEL 300 CAJA CON 20 TABLETAS 300 MG,PURIBEL 300 CAJA CON 20 TABLETAS 300 MG,7501537102104,7501537102104,1
77,PURIBEL 300 CAJA CON 20 TABLETAS 300 MG,UNIZURIC 300 CAJA CON 30 TABLETAS 300 MG,7501537102104,7501109761203,1
78,PURIBEL 300 CAJA CON 20 TABLETAS 300 MG,ACYPRIN CAJA CON 30 TABLETAS 300 MG,7501537102104,780083141950,1
79,PURIBEL 300 CAJA CON 20 TABLETAS 300 MG,ALOPURINOL ELITE 30TABS 300MG,7501537102104,7502247372894,1
80,PURIBEL 300 CAJA CON 20 TABLETAS 300 MG,ALOPURINOL 20 TABLETAS 300MG,7501537102104,7501277088775,1
81,PURIBEL 300 CAJA CON 20 TABLETAS 300 MG,ARRAMPLOR 20 TAB 300MG,7501537102104,7502227871317,1
82,ZAMOPRAX CAJA CON 30 TABLETAS 0.25 MG,ZAMOPRAX CAJA CON 30 TABLETAS 0.25 MG,7501385495403,7501385495403,1
83,ZAMOPRAX CAJA CON 30 TABLETAS 0.25 MG,ALZAM CAJA CON 30 TABLETAS 0.25 MG,7501385495403,7501384502171,1
84,ZAMOPRAX CAJA CON 30 TABLETAS 0.50 MG,ZAMOPRAX CAJA CON 30 TABLETAS 0.50 MG,7501385495410,7501385495410,1
85,ZAMOPRAX CAJA CON 30 TABLETAS 0.50 MG,ALZAM CAJA CON 30 TABLETAS 0.50 MG,7501385495410,7501384502201,1
86,ALZAM CAJA CON 30 TABLETAS 1MG,ALZAM CAJA CON 30 TABLETAS 1MG,7501384502232,7501384502232,1
87,SEBRYL SHAMPO FRASCO SOLUCION 150G  5G / 0.2G / 3G 100 G,SEBRYL SHAMPO FRASCO SOLUCION 150G  5G / 0.2G / 3G 100 G,7501101649653,7501101649653,1
88,SEBRYL SHAMPO FRASCO SOLUCION 150G  5G / 0.2G / 3G 100 G,DARISEB FRASCO SOLUCION 120 ML  7.5 G/1.5G  100 ML,7501101649653,748499005334,1
89,SEBRYL SHAMPO FRASCO SOLUCION 150G  5G / 0.2G / 3G 100 G,SEBRYL PLUS SH 150G,7501101649653,7501201340016,1
90,PLUSGEL FRASCO SUSPENSION 360 ML 3.7/4/0.5G/100ML,PLUSGEL FRASCO SUSPENSION 360 ML 3.7/4/0.5G/100ML,780083140595,780083140595,1
91,KINESTREL CAJA CON 30 TABLETAS 100 MG,KINESTREL CAJA CON 30 TABLETAS 100 MG,7501384504885,7501384504885,1
92,KINESTREL CAJA CON 30 TABLETAS 100 MG,PK-MERZ 100MG|TAB|30,7501384504885,4008491317061,1
93,BROGAL FRASCO SOLUCION 120 ML  300MG/100 ML,BROGAL FRASCO SOLUCION 120 ML  300MG/100 ML,7502003380514,7502003380514,1
94,BROGAL FRASCO SOLUCION GOTERO 30 ML 0.750G/100ML,BROGAL FRASCO SOLUCION GOTERO 30 ML 0.750G/100ML,7502003380538,7502003380538,1
95,BROGAL FRASCO SOLUCION GOTERO 30 ML 0.750G/100ML,VIAXOL 7.5MG/ML FCO 30ML,7502003380538,7503000422566,1
96,BROGAL FRASCO SOLUCION GOTERO 30 ML 0.750G/100ML,AMBROXOL SOL GTS.,7502003380538,7501277060177,1
97,OXOLVAN CAJA CON 20 TABLETAS 0.030 G,OXOLVAN CAJA CON 20 TABLETAS 0.030 G,7501537102111,7501537102111,1
98,OXOLVAN CAJA CON 20 TABLETAS 0.030 G,CLOXAN CAJA CON 20 COMPRIMIDOS 0.030 G,7501537102111,7501573900337,1
99,OXOLVAN CAJA CON 20 TABLETAS 0.030 G,GM AMBROXOL 30MG CPR C20,7501537102111,7501573900344,1
100,OXOLVAN CAJA CON 20 TABLETAS 0.030 G,PROSPEC TAB.30 MG.C/20 (Ambroxol),7501537102111,7501277055401,1
101,AMIKACINA AMSA FRASCO CON 2 AMPULA 2 ML 100 MG,AMIKACINA AMSA FRASCO CON 2 AMPULA 2 ML 100 MG,7501349020603,7501349020603,1
102,AMIKACINA AMSA FRASCO CON 2 AMPULA 2 ML 100 MG,AMIKACINA AMSA FRASCO AMP 2 ML PED 100 MG C/1,7501349020603,7501349020610,0.5
103,AMIKACINA AMSA FRASCO CON 2 AMPULA 2 ML 100 MG,BIOKACIN FRASCO CON 2 AMPULA 2 ML 100 MG,7501349020603,7502003380422,1
104,AMIKACINA AMSA FRASCO CON 2 AMPULA 2 ML 100 MG,AMK 100MG/2ML AMP,7501349020603,7501125105104,0.5
105,AMIKACINA AMSA CAJA CON 2 FRASCOS AMPULA 2 ML 500 MG,AMIKACINA AMSA CAJA CON 2 FRASCOS AMPULA 2 ML 500 MG,7501349021488,7501349021488,1
106,AMIKACINA AMSA CAJA CON 2 FRASCOS AMPULA 2 ML 500 MG,AMIKACINA AMSA FRASCO AMPULA 2 ML 500 MG,7501349021488,7501349021259,1
107,AMIKACINA AMSA CAJA CON 2 FRASCOS AMPULA 2 ML 500 MG,AMIKACINA SOL INY 500MG C/2 AMP,7501349021488,7501349021266,1
108,AMIKACINA AMSA CAJA CON 2 FRASCOS AMPULA 2 ML 500 MG,AMIKASON´S FRASCO AMPULA 2 ML 500 MG,7501349021488,7502001160620,1
