1,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,4019338605142,4019338605142,1.00,,,,,,,,,,,,,,,,,,
2,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,4019338605142,7501293201660,1.00,,,,,,,,,,,,,,,,,,
3,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,RANTUDIL 60MG CAP C14,4019338605142,7501293201653,0.50,,,,,,,,,,,,,,,,,,
4,RANTUDIL CAJA CON 28 CAPSULAS 60 MG,RANTUDIL 60MG CAP 14,4019338605142,4019338605135,0.50,,,,,,,,,,,,,,,,,,
5,FITROMTEC CAJA CON 20 TABLETAS 4 MG,FITROMTEC CAJA CON 20 TABLETAS 4 MG,7501471889611,7501471889611,1.00,,,,,,,,,,,,,,,,,,
6,FITROMTEC CAJA CON 20 TABLETAS 4 MG,SINTROM CAJA CON 30 TABLETAS 4 MG,7501471889611,7501094916558,1.00,,,,,,,,,,,,,,,,,,
7,ASPITAK-P CAJA CON 30 COMPRIMIDOS 100 MG,ASPITAK-P CAJA CON 30 COMPRIMIDOS 100 MG,7502001162976,7502001162976,1.00,,,,,,,,,,,,,,,,,,
8,ASPITAK-P CAJA CON 30 COMPRIMIDOS 100 MG,ACIDO ACETILSALICILICO 100MG C/30 TAB LR,7502001162976,7502216798373,1.00,,,,,,,,,,,,,,,,,,
9,ASPITAK-P CAJA CON 30 COMPRIMIDOS 100 MG,ASPIRINA PROTECT 100MG CPR C28,7502001162976,7501318612655,1.00,,,,,,,,,,,,,,,,,,
10,ACETA-DIAZOL FRASCO 30 TABLETAS 250 MG,ACETA-DIAZOL FRASCO 30 TABLETAS 250 MG,8400000026,8400000026,1.00,,,,,,,,,,,,,,,,,,
11,LANDVIR CAJA CON 25 TABLETAS 200MG,LANDVIR CAJA CON 25 TABLETAS 200MG,7502247374164,7502247374164,1.00,,,,,,,,,,,,,,,,,,
12,LANDVIR CAJA CON 25 TABLETAS 200MG,MACLOV CAJA CON 25 TABLETAS 200MG,7502247374164,785120753523,1.00,,,,,,,,,,,,,,,,,,
13,LANDVIR CAJA CON 25 TABLETAS 200MG,CLORIXAN 200MG C/20TAB,7502247374164,9588854500002,1.00,,,,,,,,,,,,,,,,,,
14,LANDVIR CAJA CON 25 TABLETAS 200MG,ZIVERONE TAB C/25 200MG (Aciclovir),7502247374164,7502003388060,1.00,,,,,,,,,,,,,,,,,,
15,LANDVIR CAJA CON 25 TABLETAS 200MG,BRIMEX 25 COMP 200MG,7502247374164,7501573900276,1.00,,,,,,,,,,,,,,,,,,
16,MACLOV CAJA CON 35 TABLETAS  400 MG,MACLOV CAJA CON 35 TABLETAS  400 MG,785120753530,785120753530,1.00,,,,,,,,,,,,,,,,,,
17,MACLOV CAJA CON 35 TABLETAS  400 MG,BRIMEX COMPRIMIDOS 400MG,785120753530,7501573921264,1.00,,,,,,,,,,,,,,,,,,
